dataset_name,recommended_dim,sample_count,original_dim,class_count,baseline_quality,intrinsic_dim_pca_95,intrinsic_dim_twonn,minority_fraction,class_entropy_normalized,variance_in_top_10_pca,mean_centroid_cosine_distance,intrinsic_dim_mle,intrinsic_dim_lpca,intrinsic_dim_consensus,local_id_std,task_family_code,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,c1,c2,can_cor.mean,can_cor.sd,cat_to_num,class_conc.mean,class_conc.sd,class_ent,cls_coef,cor.mean,cor.sd,cov.mean,cov.sd,density,eigenvalues.mean,eigenvalues.sd,eq_num_attr,f1.mean,f1.sd,f1v.mean,f1v.sd,f2.mean,f2.sd,f3.mean,f3.sd,f4.mean,f4.sd,freq_class.mean,freq_class.sd,g_mean.mean,g_mean.sd,gravity,h_mean.mean,h_mean.sd,hubs.mean,hubs.sd,inst_to_attr,iq_range.mean,iq_range.sd,joint_ent.mean,joint_ent.sd,kurtosis.mean,kurtosis.sd,l1.mean,l1.sd,l2.mean,l2.sd,l3.mean,l3.sd,lh_trace,lsc,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,mut_inf.mean,mut_inf.sd,n1,n2.mean,n2.sd,n3.mean,n3.sd,n4.mean,n4.sd,nr_attr,nr_bin,nr_cat,nr_class,nr_cor_attr,nr_disc,nr_inst,nr_norm,nr_num,nr_outliers,ns_ratio,num_to_cat,p_trace,range.mean,range.sd,roy_root,sd.mean,sd.sd,sd_ratio,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t1,t2,t3,t4,t_mean.mean,t_mean.sd,var.mean,var.sd,w_lambda,task_family,true_intrinsic_dim,is_synthetic,language,linear_sep_metric,linear_sep_value,linear_sep_threshold
IMDb (Binary) [baseline size=2000],16,1200.0,384.0,2.0,0.7166666666666667,150.0,28.80347696221576,0.5,1.0,0.2769473037863393,0.0285279528250885,36.67244524276014,17.0,58.11898055124398,0.0,0.0,0.0074040170619009,0.0010846379497273,3.321928094887362,0.0,0.0266666666666666,1.0,0.0,0.5783344084262688,0.0,0.0,0.0020657567774166,0.0019594031347635,1.0,0.6195722356187431,1.5281402178011527e-16,1.598337532925409e-16,1.7428635972810994e-17,2.230975051863718e-17,0.8775896580483736,0.1255791155542424,0.0748330682374058,73.3674494499306,0.9895477910009448,0.0166241997527339,0.33256806516736,0.0,0.0033541927076043,0.0,0.9908333333333332,0.0,0.88,0.0,0.5,0.0,0.0,0.0,0.5069344922131843,0.0,0.0,0.8162064091007851,0.2076438823290548,37.5,0.4555507686484089,0.1270529965853677,4.308298072207039,0.0132147276147982,0.2155692440135233,0.2474329833265936,0.1474209594674921,0.0,0.2325,0.0,0.2066666666666666,0.0,0.5025634212104635,0.9975229166666668,0.3373945418296218,0.0941946294259455,1.224978483741172,0.2801855783496458,-8.355584742621621e-19,2.1024004922928527e-17,5.235188873246524e-05,0.010575667046220679,-1.2081727351901927,0.3539684674046495,0.0136300226803229,0.0132147276147982,0.5216666666666666,0.491536490439726,0.0264347413253957,0.3675,0.4823252167147173,0.065,0.2466286440651095,32.0,0.0,0.0,2.0,0.0,1.0,1200.0,19.0,32.0,32.0,242.7213915779528,0.0,0.3344706879697623,2.433151218931364,0.5894909192970292,0.5025634212104635,0.3435684488592467,0.0882216358669381,1.023379539084817,0.0123435690781243,0.1176156470394945,0.0,0.0,0.9991666666666666,0.0266666666666666,0.025,0.9375,0.000304494176776,0.0068474270829015,0.1255791155542424,0.0748330682374058,0.6655293120302377,single,,0.0,en,kappa_vs_majority,0.43333333333333335,0.1
IMDb (Binary) [size=385],2,385.0,384.0,2.0,0.6154715762273901,129.0,30.56755529603787,0.4987012987012987,0.9999951334232988,0.3057536268420199,0.0335077814113501,32.49622441601769,17.0,52.265944928013894,0.0,0.0,0.0160246230075524,0.0036788511144615,2.8073549220576037,0.0,0.0831168831168831,0.9999951334232988,1.3492909475942838e-05,0.5746814331116706,0.0,0.0,0.0038930143178414,0.0028027318516567,0.9999951334232988,0.6196381438830989,1.392031301817909e-16,1.461853043671956e-16,1.7315130617187928e-17,2.0139576279363256e-17,0.8754329004329005,0.1363042725997958,0.0880626580032162,58.680416801156746,0.9896794140761472,0.0155705414848208,0.3375846325437729,0.0,0.0022044775048199,0.0,0.9662337662337662,0.0,0.5714285714285714,0.0,0.5,0.0018366409900948,0.0,0.0,0.5538106644749464,0.0,0.0,0.783788734921538,0.2444737371939233,12.03125,0.4704582622882259,0.1436178581949125,3.7903086780003736,0.012387191907342,0.1782170761030984,0.395615717087044,0.1591097520470944,0.0,0.2415584415584415,0.0,0.2129870129870129,0.0,0.4931139441507188,0.99350986675662,0.347425508155459,0.1042227488801749,1.0663739462392492,0.2731209434700437,-9.372012545537035e-19,1.2249387027813965e-17,0.0018694174118069,0.020335650582191837,-1.10444854920718,0.2829543199626844,0.0170413774805291,0.012387191907342,0.5532467532467532,0.4939194043810589,0.0276944975424071,0.4103896103896104,0.4925445241042765,0.2779220779220779,0.4485576934230471,32.0,0.0,0.0,2.0,0.0,1.0,385.0,26.0,32.0,31.0,163.7375586430838,0.0,0.3302587495632835,2.1708224954464295,0.5192139383469947,0.4931139441507188,0.3566959823043274,0.0967724237326598,1.0580621116228557,-0.0300937950108518,0.1462065942636593,0.0,0.0,0.9974025974025974,0.0831168831168831,0.0753246753246753,0.90625,0.0021968009423538,0.0104177609930299,0.1363042725997958,0.0880626580032163,0.6697412504367164,single,,0.0,en,kappa_vs_majority,0.22894040024763115,0.1
IMDb (Binary) [size=391],8,391.0,384.0,2.0,0.6726365237815619,128.0,31.359750381140454,0.4987212276214833,0.9999952816353448,0.3013102126825294,0.0340004866593833,33.76230249285782,17.0,52.53051321849957,0.0,0.0,0.0160227535895407,0.0038198696409987,2.807326490260776,0.0,0.0818414322250639,0.9999952816353448,1.3081984798879454e-05,0.634066599244438,0.0,0.0,0.0046168316067473,0.0035633106428238,0.9999952816353448,0.6156755028957477,1.3489310766150484e-16,1.7022473850409654e-16,1.631552536988508e-17,2.315490786432952e-17,0.8744704570791527,0.1356336283943729,0.0814424007704122,49.35088952419905,0.9874362358663312,0.0189774052202935,0.2720586453281756,0.0,0.0018238579775852,0.0,0.9744245524296676,0.0,0.5703324808184144,0.0,0.5,0.0018084572408863,0.0,0.0,0.5430444930913294,0.0,0.0,0.8031238744832088,0.222163331029928,12.21875,0.4680167986090382,0.1380061452462113,3.787058808223602,0.0158328355409892,0.2344122989598817,0.3671336722326897,0.1405584933315397,0.0,0.1943734015345268,0.0,0.1815856777493606,0.0,0.672353930644021,0.9926544174881116,0.3460891771907776,0.1018612977806398,1.1107246244679945,0.2779908756705816,3.0967697857591085e-18,1.1440909828116221e-17,-0.0007303132758245,0.01847227609673162,-1.1151283540344985,0.244436331437242,0.020262963672519,0.0158328355409892,0.5473145780051151,0.4919393725835627,0.0258388106810753,0.3836317135549872,0.4868929302791057,0.2352941176470588,0.4247259785588174,32.0,0.0,0.0,2.0,0.0,1.0,391.0,25.0,32.0,31.0,137.54471318369488,0.0,0.4020404522774067,2.225852978502493,0.4697925256185994,0.672353930644021,0.3567780383895099,0.0928018893984876,1.0546101518671644,0.0038401976800106,0.1557404923307317,0.0,0.0,1.0,0.0818414322250639,0.0741687979539642,0.90625,0.0003907910591393,0.0101803423453904,0.1356336283943729,0.0814424007704122,0.5979595477225933,single,,0.0,en,kappa_vs_majority,0.3435942605055933,0.1
IMDb (Binary) [size=502],8,502.0,384.0,2.0,0.7211885752304914,136.0,28.00726015412724,0.5,1.0,0.3005469191566693,0.0409119295592081,33.92958415299514,17.0,53.73421107678059,0.0,0.0,0.0118504015041022,0.0030378016849456,2.80732624022787,0.0,0.0637450199203187,1.0,0.0,0.6585608953480973,0.0,0.0,0.0038703108382916,0.0042649113759372,1.0,0.6121425252131976,1.454024403697753e-16,1.4883331749980406e-16,1.6919546985649144e-17,1.946763247788577e-17,0.8748399615112404,0.1321925904049255,0.0786610806961729,58.78158333994517,0.9864467983474472,0.0232338866163113,0.2468392434366343,0.0,0.002313900632814,0.0,0.9741035856573704,0.0,0.6952191235059761,0.0,0.5,0.0,0.0,0.0,0.621742096608642,0.0,0.0,0.8078510205995288,0.2204769678639604,15.6875,0.46238638825613,0.1366251427128205,3.7903141091626544,0.0189504448443163,0.1922279006071895,0.2695932195636855,0.1234547206854613,0.0,0.1912350597609562,0.0,0.1573705179282868,0.0,0.7658561388595899,0.9944485008174472,0.3437847086802607,0.101266981123507,1.1042036180777948,0.2780257463364193,6.904337659365857e-18,2.4262050629043765e-17,0.00067985583107,0.014555419591766906,-1.1335087681989446,0.3068601636914094,0.0170121310652149,0.0189504448443163,0.5318725099601593,0.4923385501411719,0.0278509000575099,0.3784860557768924,0.4854934510606044,0.2669322709163346,0.4427979351483913,32.0,0.0,0.0,2.0,0.0,1.0,502.0,24.0,32.0,31.0,164.01908135236943,0.0,0.4337024528816875,2.2377123862767396,0.5456785241780773,0.7658561388595899,0.3520190130256945,0.0924237359449934,1.04538719933168,-0.0185796377660444,0.1484835997911006,0.0,0.0,1.0,0.0637450199203187,0.0577689243027888,0.90625,0.0018332880900467,0.009690582223442,0.1321925904049255,0.0786610806961729,0.5662975471183125,single,,0.0,en,kappa_vs_majority,0.4423771504609828,0.1
AG News (4 classes) [baseline size=2000],16,1200.0,384.0,4.0,0.8525,151.0,14.89388244437799,0.25,1.0,0.2372691396544853,0.7626220425955279,25.92329187224538,17.0,52.204293579155845,0.1264911064067351,0.0,0.0079539605174445,0.0012452818516653,3.321928094887362,0.0,0.0266666666666666,1.0,0.0,0.7825593704806776,0.0809545569316348,0.0,0.0114922359307756,0.0226084423311271,2.0,0.4898437559003443,1.45615310133613e-16,1.531823111236027e-16,3.0361956771775856e-17,3.2412660826171106e-17,0.9131498470948012,0.232053799250752,0.1036455126322267,26.52712847933076,0.9421779527270449,0.1435933056511578,0.0794662956118902,0.0326578983987238,0.0015255155617746,0.0008138556108404,0.7230555555555555,0.1538773561663338,0.3566666666666667,0.171269767715535,0.25,0.0,0.0,0.0,1.576096863888685,0.0,0.0,0.8679821950332587,0.2450637466218262,37.5,0.6324551578291211,0.1405436551297759,5.246533579361177,0.1485847659626051,0.0890741228279848,0.2411197539841601,0.0477128479612155,0.0275134590606381,0.0502777777777777,0.0332401475238514,0.0336111111111111,0.0265710089857069,5.376297795011374,0.9949291666666666,0.4680674799337916,0.1035551886276547,1.572784557684717,0.291049034798214,2.266705341943028e-18,1.933816209434442e-17,-0.0025103745135124,0.026245990040755222,-1.5584301544325552,0.2532388095613612,0.0753945155261847,0.1485847659626051,0.3583333333333333,0.4663872670875741,0.0509998805921647,0.2316666666666666,0.4220730706323449,0.5616666666666666,0.4963895221365589,32.0,0.0,0.0,4.0,0.0,3.0,1200.0,19.0,32.0,31.0,43.06060668608776,0.0,1.8503047855573376,3.131214712117272,0.4525957278568278,2.639673638965822,0.4725109583498461,0.0952399671596974,1.1704428827537745,0.0002206592200973,0.1720950067250807,0.0,0.0,0.9616666666666668,0.0266666666666666,0.025,0.9375,-0.0015119962300107,0.0191895698652213,0.232053799250752,0.1036455126322267,0.0507515764287241,single,,0.0,en,kappa_vs_majority,0.8033333333333333,0.1
AG News (4 classes) [size=415],4,415.0,384.0,4.0,0.7784381190699614,133.0,16.38140502371549,0.2481927710843373,0.9999937072618518,0.2649689832126027,0.7728921744620333,25.818303731612193,16.996,48.048927188831925,0.063118935352238,0.0,0.0141115211942387,0.0030557832059155,2.807313138198708,0.0,0.0771084337349397,0.9999937072618518,7.729349111418315e-06,0.7898755747631228,0.0991700274552102,0.0,0.0195395456334833,0.0339130724719928,1.9999874145237035,0.4974232171604812,1.287592742144622e-16,1.4018613273082528e-16,3.147323424072327e-17,3.753017586590762e-17,0.9142890402188464,0.2535903522624652,0.1165566381852977,23.26440027879132,0.9408943608057768,0.1370733133274957,0.075763175975058,0.0394239093106619,0.000308507362003,0.0002885663573275,0.5456614641397249,0.3044017420591831,0.0,0.0,0.25,0.0012048192771084,0.0,0.0,1.6067588264847774,0.0,0.0,0.862713732637272,0.2541408400940591,12.96875,0.6656356782910828,0.1535852965027748,4.72133283421015,0.1495797899379481,0.0738359972916899,0.3331568623682747,0.0330059173205468,0.0396071992265031,0.0257068314133531,0.0284936887009943,0.0289080886906973,0.0276952925819216,6.1962528612808025,0.9907446654086224,0.4951844303045423,0.1139375892489919,1.483929298348828,0.3107667529870954,-2.0064271529370283e-19,1.6903297552853378e-17,0.0058968973832044,0.03163803631840983,-1.4771354798110223,0.3548411306937674,0.0859677185122612,0.1495797899379481,0.4530120481927711,0.4771531412130144,0.0465084105591101,0.3156626506024096,0.4653402286849599,0.3710843373493976,0.4836780680849188,32.0,0.0,0.0,4.0,0.0,3.0,415.0,27.0,32.0,29.0,31.655433769576103,0.0,1.8913796595130548,2.9610647781598503,0.56875931500268,3.4987592619960917,0.4930423942862277,0.1041068914652081,1.2692397406162632,0.0224010746201215,0.230257607452782,0.0,0.0,0.9783132530120482,0.0771084337349397,0.072289156626506,0.9375,0.0018201289544683,0.0207075735907864,0.2535903522624651,0.1165566381852976,0.0419411027704766,single,,0.0,en,kappa_vs_majority,0.7045841587599485,0.1
AG News (4 classes) [size=581],8,581.0,384.0,4.0,0.8037319943735199,141.0,16.874057561416933,0.2495697074010327,0.99999679825736,0.2438957881204753,0.7861551492765005,26.22273755861793,16.828,50.23119878000871,0.3878350164696323,0.0,0.0133899671935918,0.0043988796213531,2.999967908821489,0.0,0.0550774526678141,0.99999679825736,3.954429158459227e-06,0.7835547666393848,0.0806009932921802,0.0,0.0155467680334629,0.0251215636002947,1.99999359651472,0.4996309989973854,1.7280422849174367e-16,1.77779394722914e-16,3.8290625816597865e-17,4.3049802830257015e-17,0.9143569351296812,0.2414619232909173,0.104651937405846,24.315030357305613,0.9420353766674172,0.1386885495973931,0.0822757657045051,0.0364170178567878,0.0007570614582001,0.0005130798447118,0.7344886834933049,0.1225897783585171,0.0350574712643678,0.0858729162699849,0.25,0.0008605851979345,0.0,0.0,1.526107940421917,0.0,0.0,0.8753568438963011,0.2309313734346621,18.15625,0.643406446055901,0.1601997203986248,4.917708118557533,0.1371658844729257,0.1343540666593121,0.4261977601364445,0.041244494884211,0.0379769435776715,0.0447288383299759,0.0445536999156618,0.0430086503140182,0.02880818051873,5.49163396970687,0.992940535192158,0.4771642817257931,0.1219321462437196,1.493284715887988,0.2463732416600872,3.65456374284959e-18,2.5989991711431706e-17,0.0038414173616435,0.02946470288720706,-1.537013741078778,0.268224143210546,0.0822533867786765,0.1371658844729256,0.3941480206540447,0.4777879836885603,0.0427414787355647,0.2788296041308089,0.4488099285328596,0.3356282271944922,0.4726165167358276,32.0,0.0,0.0,4.0,0.0,3.0,581.0,22.0,32.0,29.0,35.472272161797534,0.0,1.8548672572092748,3.030298456966766,0.4497777646666304,2.889328978920739,0.4823677337865096,0.0952188254229473,1.2364972091254185,-0.0299521462830379,0.1759595279981678,0.0,0.0,0.974182444061962,0.0550774526678141,0.0516351118760757,0.9375,0.001893907134752,0.0159740284522337,0.2414619232909172,0.104651937405846,0.0496103366585761,single,,0.0,en,kappa_vs_majority,0.7383093258313599,0.1
Emotion (6 classes) [baseline size=2000],32,1029.0,384.0,6.0,0.4946550048590865,141.0,20.02026340580864,0.0699708454810495,0.9747096894211464,0.3436414374884078,0.1455719568865588,25.629911321217687,16.912,50.89054368175658,0.2832948993540123,0.0,0.0089208638692472,0.0015484396148121,3.3219219475743027,0.0,0.0310981535471331,0.9747096894211464,0.0166345085205154,0.4831074369475828,0.1425827184855438,0.0,0.0088268563411229,0.0060433030339844,2.5195879962432284,0.5925597440806415,1.3170376002743975e-16,1.518897681282117e-16,3.307097304752905e-17,4.216603777632634e-17,0.951853448438853,0.3017031510678097,0.2117282626200486,43.000366691590344,0.960991132159536,0.0543057529978666,0.1960364074337648,0.0625955488289186,0.002380809517634,0.0020469064960283,0.9265624666169232,0.0285987387523351,0.353420634920635,0.2332178508140549,0.1666666666666666,0.0502336488291441,0.0,0.0,1.2069296489979977,0.0,0.0,0.9026206949479496,0.2135027876251093,32.15625,0.7161605244542755,0.2438508122002071,5.7829153738150385,0.0419129640738513,-0.0014576042285713,0.3202853809716495,0.10476136161313,0.0239591952287762,0.1297490000366959,0.0474677069784017,0.1040915195772632,0.0479060117024613,1.9045384241449093,0.998317027769042,0.5306391089822519,0.1804413023841161,1.6905218616683997,0.4551642972148245,4.450602503963821e-18,4.6424008702498516e-17,0.0010255357151823,0.021752749405039393,-1.613124586736956,0.4486429833045908,0.0585945700024923,0.0419129640738513,0.7589893100097181,0.5074690491456637,0.0365979374588695,0.6355685131195336,0.4815044035943635,0.3731778425655976,0.4838839584728195,32.0,0.0,0.0,6.0,0.0,5.0,1029.0,23.0,32.0,31.0,55.69334116511149,0.0,1.2482833046132245,3.303646448405355,0.8393429523878376,0.8739597334765358,0.5251583801814618,0.1635472169540409,1.1708975994129938,-0.0114678377264135,0.1583483120952732,0.0,0.0,0.9951409135082604,0.0310981535471331,0.0281827016520894,0.90625,0.0002535518130704,0.0155538476536803,0.3017031510678097,0.2117282626200486,0.2185405120622436,single,,0.0,en,kappa_vs_majority,0.39358600583090375,0.1
Emotion (6 classes) [size=360],2,360.0,384.0,6.0,0.4527777777777778,120.0,20.211501573360938,0.0361111111111111,0.8785948720900488,0.3447539654843015,0.1887008532684056,24.704218493565353,16.912,45.45693001673157,0.2832948993540123,0.0,0.0179082253379737,0.0039820646249938,2.8072881913513537,0.0,0.0888888888888888,0.8785948720900488,0.1019340658253993,0.4948572449334255,0.1747488801671061,0.0,0.0185746524935728,0.0098745714228646,2.271134797678677,0.6364917014712155,1.2087331872031558e-16,1.3601242063541065e-16,3.4708683953374403e-17,4.246965313881032e-17,0.941287527081399,0.3191668954011927,0.2033164157222591,26.896289131674656,0.9579197642939212,0.0547074652478202,0.1257779036330638,0.0757918447648788,9.562727650556264e-05,0.0001590976402626,0.781829151840012,0.0765302005164492,0.0091445427728613,0.0354166618679734,0.1666666666666666,0.1199022235401685,0.0,0.0,1.4952019085820036,0.0,0.0,0.8614815082108213,0.211694859273809,11.25,0.7295068297756584,0.2366273754070621,4.993982537540235,0.0432955993675718,0.05455598209087,0.3941200540964226,0.0422452841479737,0.0498142557337064,0.0413162986530137,0.05943773942162,0.0739902422084534,0.0475645461703071,2.2758792218389994,0.9952546296296296,0.5380849918485202,0.1733359495143936,1.600726074527021,0.4437871195825919,3.681468710128557e-18,1.9485421051200373e-17,0.0017980064758538,0.024165201575175547,-1.5823431781338249,0.3941103419978771,0.0844404514897951,0.0432955993675718,0.7361111111111112,0.5082667856817255,0.0370170268088398,0.6055555555555555,0.4894112456600487,0.4638888888888889,0.4993883600345905,32.0,0.0,0.0,6.0,0.0,5.0,360.0,25.0,32.0,26.0,32.2457742920835,0.0,1.3465671487941324,3.1830692526608457,0.7743842876016115,1.1174376662009315,0.5435312007621906,0.1565457095335795,0.0,-0.0004046787832829,0.1885234620837123,0.0,0.0,1.0,0.0888888888888888,0.0805555555555555,0.90625,0.0010949610359952,0.0135366626830014,0.3191668954011927,0.2033164157222591,0.1801196061521788,single,,0.0,en,kappa_vs_majority,0.3433333333333333,0.1
Emotion (6 classes) [size=437],2,437.0,384.0,6.0,0.5080774681152574,124.0,17.821498804503413,0.0366132723112128,0.8809006092889496,0.3581291901840399,0.2007585829303473,24.790547452465496,16.904,45.87901156424223,0.2945912422323515,0.0,0.0147134409481134,0.0036353416147607,2.807309628499616,0.0,0.0732265446224256,0.8809006092889496,0.0999649662638884,0.4950162915917454,0.1596195124903554,0.0,0.0173531895506481,0.0104701913307282,2.2770950418743534,0.6104080875620395,1.124995371860951e-16,1.326696576591176e-16,3.175449461568303e-17,4.276561810214788e-17,0.9372493859299226,0.3202966202316538,0.2281304057868533,28.793802203512104,0.958527513124238,0.0625356615766358,0.1258877674085362,0.0584496769848671,0.000564606629762,0.0008034112925649,0.8022812305701454,0.0861205034164781,0.0173382173382173,0.0671506270038404,0.1666666666666666,0.118723657782173,0.0,0.0,1.2920365883448994,0.0,0.0,0.8559135868717225,0.2214392545574983,13.65625,0.7262620358218089,0.2563192057216434,5.005321851586091,0.0523559222199133,0.0312360485007658,0.2867179557519497,0.048021820697336,0.0467218354156134,0.0503507340699024,0.0529259643325151,0.0652857929303603,0.0424443959318099,2.2911603163371335,0.9956170896847132,0.538799865772737,0.1909371716287226,1.5777180363853416,0.3940112667484755,-4.779421201547084e-18,2.2985744028845968e-17,0.0028122617752123,0.02580258102445274,-1.6051886904887058,0.466423846289037,0.0790828187878781,0.0523559222199133,0.6933638443935927,0.503946676184998,0.040245367204308,0.5491990846681922,0.4981438475412468,0.4027459954233409,0.4910125860358609,32.0,0.0,0.0,6.0,0.0,5.0,437.0,28.0,32.0,30.0,34.49835060924665,0.0,1.3271191997768546,3.182906726874047,0.8073566466222803,1.3395216353453605,0.5405941232838194,0.1701752086948944,0.0,-0.0161460887634289,0.1628882431166392,0.0,0.0,0.9954233409610984,0.0732265446224256,0.0663615560640732,0.90625,0.0024139322822411,0.0185909146849047,0.3202966202316537,0.2281304057868532,0.1836172036688332,single,,0.0,en,kappa_vs_majority,0.40969296173830894,0.1
