dataset_name,recommended_dim,class_count,baseline_quality,mean_centroid_cosine_distance,intrinsic_dim_twonn,intrinsic_dim_pca_95,task_family,true_intrinsic_dim,is_synthetic,language,linear_sep_metric,linear_sep_value,linear_sep_threshold
TweetEval irony,8,2.0,0.5870001738265213,0.0471653182532391,23.341531622782053,152.0,single,,0,en,kappa_vs_majority,0.1605694589969944,0.1
TweetEval stance climate,4,3.0,0.7690262545696244,0.2669668159621483,7.037962734099921,121.0,single,,0,en,kappa_vs_majority,0.5000263437330285,0.1
SetFit SUBJ,4,2.0,0.8800087512662363,0.2877007640040278,28.48672966608989,153.0,single,,0,en,kappa_vs_majority,0.748446019426072,0.1
PubMed RCT 20k,48,5.0,0.6560332787877697,0.1828106277999139,22.77688399933809,147.0,single,,0,en,kappa_vs_majority,0.4963884023246994,0.1
ADE corpus classification,24,2.0,0.7609795424166682,0.0528600234290197,3.049631731013477,145.0,single,,0,en,kappa_vs_majority,0.1613317277777833,0.1
LexGLUE LEDGAR,162,99.0,0.6399812986639334,0.4625140862617525,9.369142243728303,125.0,single,,0,en,kappa_vs_majority,0.6194305482705427,0.1
LexGLUE SCOTUS,16,13.0,0.4420048791306276,0.0768012658687435,20.969123135232724,128.0,single,,0,en,kappa_vs_majority,0.2909845986412041,0.1
LexGLUE Unfair ToS,32,8.0,0.834349593495935,0.4450623886155503,11.529298247256026,64.0,single,,0,en,kappa_vs_majority,0.7821337044892188,0.1
SuperGLUE CB,2,3.0,0.6758462421113024,0.2303591354761432,4.903336419034478,112.0,single,,0,en,kappa_vs_majority,0.3813859582276763,0.1
LexGLUE ECtHR A,32,10.0,0.6199020190241505,0.1672351265933171,13.785238020709688,130.0,single,,0,en,kappa_vs_majority,0.2338782343359828,0.1
LexGLUE EUR-LEX,162,61.0,0.4709979440518362,0.2234716762633513,4.930513727272521,110.0,single,,0,en,kappa_vs_majority,0.3717315250021808,0.1
SNIPS intents,48,7.0,0.9609969250687812,0.6240756771133806,5.715323742259692,135.0,single,,0,en,kappa_vs_majority,0.9537878259108784,0.1
ATIS intents,56,19.0,0.9280088471705238,0.5297933633727547,1.9863398459939596,86.0,single,,0,en,kappa_vs_majority,0.7542964067253372,0.1
ETHOS binary,16,2.0,0.7056532663316584,0.0848936053007632,17.165439219478976,137.0,single,,0,en,kappa_vs_majority,0.2987277022563017,0.1
FRENK English hate,8,2.0,0.6699963436490384,0.0746634463545734,10.396155156006657,148.0,single,,0,en,kappa_vs_majority,0.1516615517970138,0.1
ArXiv classification,16,11.0,0.5880041718365071,0.2101708677101387,22.141747616155904,144.0,single,,0,en,kappa_vs_majority,0.5391545546269655,0.1
Patent classification,16,9.0,0.4179778580976185,0.1718709066990946,5.934944663598012,132.0,single,,0,en,kappa_vs_majority,0.2528598948621547,0.1
Poem sentiment,16,4.0,0.7332045285065419,0.1405393945618021,21.04989455954824,147.0,single,,0,en,kappa_vs_majority,0.2938232623971378,0.1
Climate sentiment,4,3.0,0.7709835584087082,0.1908650448513943,7.573148066122017,138.0,single,,0,en,kappa_vs_majority,0.6131479027174125,0.1
